Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб сайт 1,Веб сайт 2,Веб сайт 3,Twitter,ВКонтакте,YouTube,Skype,Широта,Долгота,2GIS URL
Tattoo Art Club,Тату-студия,Тату-салоны,"проспект Космонавтов, 45в",цокольный этаж,620135,Уралмаш,Орджоникидзевский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00 (по предварительной записи: пн-вс),89045460932,,,,,,,,,https://vk.com/tattoo_art_club,,,56.903194,60.611729,https://2gis.com/firm/70000001023136568
Kickstar tattoo,,Тату-салоны; Услуги косметолога; Услуги по уходу за ресницами / бровями,"Громова, 28",13 офис; цокольный этаж,620146,Юго-Западный,Ленинский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 12:00-19:00; Вт: 12:00-19:00; Ср: 12:00-19:00; Чт: 12:00-19:00; Пт: 12:00-19:00; Сб: 12:00-19:00; Вс: 12:00-19:00 (по предварительному звонку: пн-вс),89089222053,89221571112,,,,,,,,,,,56.809885,60.571679,https://2gis.com/firm/70000001046915311
Body house,студия коррекции фигуры,Услуги массажиста; Услуги косметолога; Обучение массажистов; Тату-салоны,"Гастелло, 25",западная сторона,620076,Уктус,Чкаловский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,89090901700,89224000417,,,,http://taplink.cc/body_house86,,,,https://vk.com/lesya7488,,,56.783512,60.647966,https://2gis.com/firm/70000001061159788
Shik_blesk_ekb,студия красоты,Ногтевые студии; Услуги по уходу за ресницами / бровями; Обучение мастеров для салонов красоты; Услуги косметолога; Тату-салоны,"проспект Космонавтов, 23а",цокольный этаж,620143,Уралмаш,Орджоникидзевский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 07:30-22:00; Вт: 07:30-22:00; Ср: 07:30-22:00; Чт: 07:30-22:00; Пт: 07:30-22:00; Сб: 07:30-22:00; Вс: 07:30-22:00 (по предварительной записи: пн-вс),89221010141,,,,,http://shikbleskekb.ru,,,,https://vk.com/public144201674,,,56.888513,60.612865,https://2gis.com/firm/70000001056808602
BEAUTY HOME,салон красоты,Ногтевые студии; Услуги по уходу за ресницами / бровями; Услуги косметолога; Услуги визажиста; Косметика / расходные материалы для салонов красоты; Эпиляция; Услуги массажиста; Тату-салоны; SPA-процедуры; Косметика / Парфюмерия,"улица Победы, 11",,620143,Уралмаш,Орджоникидзевский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00 (по предварительной записи: пн-вс),89002114115,89041720271,,agafurova85@mail.ru,,,,,,https://vk.com/beauty_home109,,,56.894683,60.609266,https://2gis.com/firm/70000001043092069
Студия красоты Светланы Бредневой,,Парикмахерские; Ногтевые студии; Услуги по уходу за ресницами / бровями; Услуги косметолога; Украшения для пирсинга; Тату-салоны,"Новаторов, 8в",1 этаж,620135,Веер,Орджоникидзевский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,89827172206,,,,,,,,,https://vk.com/public146034755,,,56.908684,60.600341,https://2gis.com/firm/70000001027677571
Zefir,кабинет татуажа и эпиляции,Услуги по уходу за ресницами / бровями; Эпиляция; Услуги массажиста; Услуги косметолога; Ногтевые студии; Тату-салоны,"Щербакова, 4",2 этаж; салон-парикмахерская Фея,620076,Уктус,Чкаловский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00 (по предварительному звонку: пн-вс),89506379384,,,,,http://vk.link/katerevazefirstubio,,,,https://vk.com/katyrevazefirstubio,,,56.78981,60.647222,https://2gis.com/firm/70000001059989129
Студия красоты,,Услуги по уходу за ресницами / бровями; Услуги косметолога; Тату-салоны; Парикмахерские; Обучение мастеров для салонов красоты,"Мраморская, 36",8 офис; 3 этаж,620076,Уктус,Чкаловский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительной записи: пн-вс),89826572082,,,,,,,,,,,,56.78782,60.642141,https://2gis.com/firm/70000001041366978
Vlada Meley Studio,студия красоты,Услуги визажиста; Услуги по уходу за ресницами / бровями; Тату-салоны,"Старых Большевиков, 2а к2",305 офис; 3 этаж,620091,Эльмаш,Орджоникидзевский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00 (по предварительной записи: пн-вс),89326193787,,,,,,,,,https://vk.com/vlada_meley,,,56.886143,60.636803,https://2gis.com/firm/70000001042868829
Мария,салон-парикмахерская,Парикмахерские; Услуги косметолога; Ногтевые студии; Тату-салоны; Услуги визажиста,"Грибоедова, 16",цокольный этаж,620010,Химмаш,Чкаловский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,83432216371,,,,,,,,,,,,56.75363,60.699277,https://2gis.com/firm/1267165676194419
Studio pm,,Услуги по уходу за ресницами / бровями; Услуги косметолога; Тату-салоны,"Соболева, 19",15 секция; 1 этаж,620036,Широкая Речка м-н,Академический район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00 (по предварительной записи: пн-вс),89995002163,,,,,,,,,https://vk.com/bannikova_beauty_lab,,,56.810786,60.513562,https://2gis.com/firm/70000001060534906
Biork,студия красоты и здоровья,Услуги косметолога; Ногтевые студии; Услуги массажиста; Услуги по уходу за ресницами / бровями; Эпиляция; Тату-салоны; Услуги визажиста; Услуги подолога,"Энергостроителей, 6",цокольный этаж,623704,Новоберёзовский,,Березовский,Березовский городской округ,Свердловская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00 (по предварительной записи: пн-вс),89826330933,,,,,http://biork.ru,,,,,,,56.89736,60.740615,https://2gis.com/firm/70000001006809447
King & Queen,тату-студия,Тату-салоны,"Стачек, 59",справа от входа,620091,Эльмаш,Орджоникидзевский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,89678511644,,,,,,,,,https://vk.com/club202375444,,,56.897154,60.61695,https://2gis.com/firm/70000001055073727
Natural permanent,студия,Услуги по уходу за ресницами / бровями; Тату-салоны,"Амундсена, 118а",2 этаж,620016,УНЦ,Академический район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00 (по предварительной записи: пн-вс),89126904614,,,,,,,,,https://vk.com/permanentksu,,,56.773387,60.545161,https://2gis.com/firm/70000001061315506
Benz team,,Художественные мастерские; Тату-салоны; Ателье швейные,"проспект Космонавтов, 108а",1 этаж,,Изумрудный бор м-н,Орджоникидзевский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,89538258826,,,,,,,,,,,,56.919986,60.61426,https://2gis.com/firm/70000001049718143
Trinity tattoo,салон художественной татуировки,Тату-салоны,"Ферганская, 16",418 офис; 4 этаж,620085,Вторчермет,Чкаловский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00 (по предварительной записи: пн-вс),89538287800,,,,,,,,,https://vk.com/trinitytattoo,,,56.772415,60.606694,https://2gis.com/firm/70000001036207732
Le`Di Lux,академия молодости,Услуги косметолога; Услуги массажиста; Ногтевые студии; Парикмахерские; Косметика / Парфюмерия; Услуги по уходу за ресницами / бровями; SPA-процедуры; Услуги визажиста; Тату-салоны,"Александра Козицына, 8",1 этаж,624091,,,Верхняя Пышма,Верхняя Пышма городской округ,Свердловская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,83436877220,89222077880,,ledi-vp@mail.ru,,http://www.ledi-vp.ru,,,,https://vk.com/ledi_vp,,,56.966474,60.582583,https://2gis.com/firm/70000001017282708
You-Key,тату-салон,Тату-салоны; Обучение мастеров для салонов красоты; Услуги по уходу за ресницами / бровями; Услуги косметолога,"Калинина, 64а",1 этаж,624090,,,Верхняя Пышма,Верхняя Пышма городской округ,Свердловская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,89022622470,83436868458,,,,http://www.you-key.ru,,,,https://vk.com/ekaterinburgtattoo,,,56.973642,60.564537,https://2gis.com/firm/1267165677197173
Guseinova Beauty,,Услуги визажиста; Услуги по уходу за ресницами / бровями; Парикмахерские; Тату-салоны,"Торговая, 5",311 офис; 3 этаж,620010,Химмаш,Чкаловский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,89501981166,,,,,,,,,,,,56.758007,60.710014,https://2gis.com/firm/70000001051701415
Версалия,салон-парикмахерская,Парикмахерские; Услуги по уходу за ресницами / бровями; Ногтевые студии; Эпиляция; Тату-салоны,"Красных Героев, 4/1",цокольный этаж,623700,,,Березовский,Березовский городской округ,Свердловская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00 (по предварительной записи: пн-вс),89120439040,,,,,,,,,,,,56.909067,60.799554,https://2gis.com/firm/70000001019803617
КружеваVP,студия красоты,Ногтевые студии; Услуги по уходу за ресницами / бровями; Услуги визажиста; Услуги косметолога; Тату-салоны,"Уральских Рабочих, 45а",цокольный этаж,624090,,,Верхняя Пышма,Верхняя Пышма городской округ,Свердловская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00 (по предварительной записи: пн-вс),89002089770,,,,,,,,,,,,56.983297,60.559862,https://2gis.com/firm/70000001046215206
Полнолуние,тату-студия,Тату-салоны,"Гагарина, 29",1 этаж,623701,6-й м-н,,Березовский,Березовский городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,89122155377,,,,,,,,,,,,56.918639,60.821619,https://2gis.com/firm/70000001054028707
Natali beauty,,Услуги косметолога; Услуги по уходу за ресницами / бровями; Тату-салоны; Косметика / Парфюмерия,"Гагарина, 21",,623701,6-й м-н,,Березовский,Березовский городской округ,Свердловская область,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00 (по предварительной записи: пн-вс),89126823600,,,,,,,,,https://vk.com/kosmetolog_nataliy,,,56.915569,60.822786,https://2gis.com/firm/70000001057274672
STIGMATATTOO,тату-салон,Тату-салоны,"1 Мая, 69",цокольный этаж,624003,,,Арамиль,Арамильский городской округ,Свердловская область,Россия,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-20:00 (по предварительной записи: пн-вс),89617736093,,,,,,,,,https://vk.com/tattooaramil,,,56.689875,60.836998,https://2gis.com/firm/70000001029393061
Чернильное сердце,тату-салон,Тату-салоны,"проспект Ильича, 33",,623103,Техгород,,Первоуральск,Первоуральск городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,89122551143,,,,,,,,,,,,56.904734,59.956999,https://2gis.com/firm/70000001059798414
"Sanata, салон красоты",,Парикмахерские; Услуги косметолога; Ногтевые студии; Тату-салоны,"улица Льва Толстого, 22",,,,,Новоуральск,Новоуральский городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,83437078787,89089062982,89090020999,,,,,,,,,,57.239118,60.091433,https://2gis.com/firm/70000001037633226
Тату-салон,,Тату-салоны,"улица Максима Горького, 3",,,,,Новоуральск,Новоуральский городской округ,Свердловская область,Россия,,89122894402,,,,,,,,,https://vk.com/nevzorov73,,,57.2593,60.109458,https://2gis.com/firm/70000001045975248
TATTOO STUDIO,,Тату-салоны,"улица Коммунаров, 103а",,,,,Елец,Елец городской округ,Липецкая область,Россия,Пн: 10:00-17:00; Вт: 10:00-17:00; Ср: 10:00-17:00; Чт: 10:00-17:00; Пт: 10:00-17:00; Сб: 10:00-17:00; Вс: 10:00-17:00,89205151564,,,,,http://kobtattoo.ru,,,,https://vk.com/kobtattoo,,,52.623544,38.472004,https://2gis.com/firm/70000001034531093
INFACE,,Ногтевые студии; Услуги по уходу за ресницами / бровями; Тату-салоны,"улица Орджоникидзе, 51",,,Засосна м-н,,Елец,Елец городской округ,Липецкая область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00 (по предварительной записи: пн-вс),89997871400,,,,,,,,,https://vk.com/infacebeauty,,,52.616436,38.513606,https://2gis.com/firm/70000001051991168
Империя Красоты,экспертный центр косметологии и медицины,Услуги косметолога; Парикмахерские; Ногтевые студии; SPA-процедуры; Услуги массажиста; Услуги по уходу за ресницами / бровями; Услуги визажиста; Тонизирующие салоны; Занятия лечебной физкультурой; Обучение мастеров для салонов красоты; Оборудование для салонов красоты; Медицинские анализы; Студии загара; Диагностические центры; Центры диетологии / нутрициологии; Услуги трихолога; Услуги терапевта; Тату-салоны; Услуги дерматовенеролога; Услуги гинеколога,"Зелёная, 39",1 корпус; 1 этаж,153000,,Фрунзенский район,Иваново,Иваново городской округ,Ивановская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,84932489669,84932509669,89023189669,,,,,,,https://vk.com/imperiaivanovo,,,56.994026,40.968086,https://2gis.com/firm/9148465024076896
W12style,барбершоп,Барбершопы; Косметика / расходные материалы для салонов красоты; Тату-салоны,"Лежневская, 114",2 помещение; цокольный этаж,153022,,Фрунзенский район,Иваново,Иваново городской округ,Ивановская область,Россия,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 12:00-21:00,84932929712,,,,,http://W12style.ru,,,,https://vk.com/w12style,,,56.981026,40.978358,https://2gis.com/firm/70000001036811597
Глянец,студия красоты,Парикмахерские; Ногтевые студии; Услуги массажиста; Услуги косметолога; Услуги по уходу за ресницами / бровями; Тату-салоны,"проспект Ленина, 47",1 этаж,153002,,Октябрьский район,Иваново,Иваново городской округ,Ивановская область,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 10:00-18:00; Вс: 10:00-18:00,84932328856,89303476457,,,,,,,,,,,57.014104,40.969751,https://2gis.com/firm/9148465024115392
Debosh Barbershop,,Барбершопы; Услуги по уходу за ресницами / бровями; Тату-салоны,"Лежневская, 119",210 офис; 2 этаж,153035,,Ленинский район,Иваново,Иваново городской округ,Ивановская область,Россия,Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00,89203429900,,,,,http://deboshbarbershop.tilda.ws,,,,https://vk.com/debosh_barbershop,,,56.97407,40.975104,https://2gis.com/firm/70000001044358868
Seven,салон красоты,Парикмахерские; Ногтевые студии; Услуги косметолога; Услуги по уходу за ресницами / бровями; Услуги массажиста; Тату-салоны,"Парижской Коммуны, 7а",2 этаж,153003,,Фрунзенский район,Иваново,Иваново городской округ,Ивановская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительной записи: пн-вс),89621608908,,,,,,,,,,,,56.997777,40.951666,https://2gis.com/firm/70000001026879723
ACE,тату-студия,Тату-салоны,"Октябрьская, 16",1 этаж,153002,,Октябрьский район,Иваново,Иваново городской округ,Ивановская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00 (по предварительной записи: пн-вс),84932308056,,,,,,,,,https://vk.com/club8926935,,,57.014547,40.9756,https://2gis.com/firm/9148465024080666
Hate tattoo,тату-салон,Тату-салоны,"Варенцовой, 9/18",410 офис; 4 этаж,153000,,Фрунзенский район,Иваново,Иваново городской округ,Ивановская область,Россия,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-20:00 (по предварительной записи: пн-вс),89203520691,,,,,,,,,https://vk.com/hate_tattoo,,,56.993907,40.974453,https://2gis.com/firm/70000001035824937
Cat tattoo,тату-студия,Тату-салоны,"Жиделева, 21",343а офис; 3 этаж,153002,,Октябрьский район,Иваново,Иваново городской округ,Ивановская область,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00 (по предварительной записи: пн-вс),89203574969,,,,,,,,,https://vk.com/cattattoo37,,,57.010245,40.967707,https://2gis.com/firm/70000001047707818
Bumblebee,тату-студия,Тату-салоны,"Богдана Хмельницкого, 42",4 офис; Цокольный этаж,153022,,Фрунзенский район,Иваново,Иваново городской округ,Ивановская область,Россия,Вт: 12:00-20:00; Ср: 12:00-20:00; Чт: 12:00-20:00; Пт: 12:00-20:00; Сб: 12:00-20:00; Вс: 12:00-20:00 (по предварительной записи: вт-вс),89051090963,,,,,,,,,https://vk.com/bumblebee37,,,56.986882,40.964741,https://2gis.com/firm/70000001028669933
Студия красоты,,Парикмахерские; Ногтевые студии; Услуги визажиста; Услуги по уходу за ресницами / бровями; Эпиляция; Услуги косметолога; Косметика / Парфюмерия; Тату-салоны,"Октябрьская, 3/70",1 этаж,153002,,Октябрьский район,Иваново,Иваново городской округ,Ивановская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-17:00; Вс: 10:00-17:00,84932271851,,,,,http://matrix37.ru,,,,https://vk.com/matrix37,,,57.015152,40.972917,https://2gis.com/firm/9148465024173368
Тату-студия,г. Иваново,Тату-салоны,"Комсомольская, 8",1 этаж,153002,,Октябрьский район,Иваново,Иваново городской округ,Ивановская область,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительной записи: пн-вс),89206799969,,,,,,,,,https://vk.com/alexandrfedorovvtattoo,,,57.007764,40.973949,https://2gis.com/firm/70000001050667315
Victim tattoo,тату-салон,Тату-салоны,"Садовая, 30а",2 этаж,153012,,Ленинский район,Иваново,Иваново городской округ,Ивановская область,Россия,Пн: 11:00-18:00; Вт: 11:00-18:00; Ср: 11:00-18:00; Чт: 11:00-18:00; Пт: 11:00-18:00; Сб: 11:00-18:00,84932325811,89969193234,,,,,,,,https://vk.com/victim37,,,56.997977,40.990137,https://2gis.com/firm/9148466024522069
Браво маэстро,салон красоты,Ногтевые студии; Услуги по уходу за ресницами / бровями; Услуги косметолога; Тату-салоны; Эпиляция,"Лежневская, 119 лит А",8 кабинет; 2 этаж,153035,,Ленинский район,Иваново,Иваново городской округ,Ивановская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00 (по предварительной записи: пн-вс),89621565144,,,,,,,,,https://vk.com/club78082361,,,56.97381,40.975,https://2gis.com/firm/70000001021249394
Permanent_ivanovo37,студия макияжа,Услуги по уходу за ресницами / бровями; Тату-салоны,"10 Августа, 63",109 офис; 1 этаж,153012,,Ленинский район,Иваново,Иваново городской округ,Ивановская область,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00,89158364435,,,,,http://permanent37.ru,,,,https://vk.com/permanent_ivanovo37,,,56.994734,40.988478,https://2gis.com/firm/70000001054930364
Tatto studio skif,тату-салон,Тату-салоны,"Красной Армии, 15а",1 этаж,153000,,Фрунзенский район,Иваново,Иваново городской округ,Ивановская область,Россия,Пн: 12:00-21:00; Вт: 12:00-21:00; Ср: 12:00-21:00; Чт: 12:00-21:00; Пт: 12:00-21:00; Сб: 12:00-21:00; Вс: 12:00-21:00 (по предварительной записи: пн-вс),89303436716,,,,,,,,,https://vk.com/tattoo4932,,,56.993833,40.975616,https://2gis.com/firm/70000001021939379
Beauty Zone,компания,Услуги по уходу за ресницами / бровями; Тату-салоны,"Парижской Коммуны, 7а",2 этаж,153003,,Фрунзенский район,Иваново,Иваново городской округ,Ивановская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-17:00; Вс: 10:00-17:00 (по предварительному звонку: пн-вс),89206774412,,,,,,,,,https://vk.com/publiclashmakeriv,,,56.99766,40.951628,https://2gis.com/firm/70000001057862169
Danilov Studio,тату-салон,Тату-салоны,"Московский микрорайон, 15",1 этаж,153048,,Ленинский район,Иваново,Иваново городской округ,Ивановская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00 (по предварительной записи: пн-вс),89085628137,,,,,,,,,,,,56.966911,40.986013,https://2gis.com/firm/70000001035414007
Profi Center,салон красоты,Обучение мастеров для салонов красоты; Ногтевые студии; Услуги косметолога; Тату-салоны; Косметика / расходные материалы для салонов красоты; Услуги по уходу за ресницами / бровями,"Лихвинцева, 62",,426034,,Индустриальный район,Ижевск,Ижевск городской округ,Удмуртская Республика,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,89127543567,,,,,,,,,https://vk.com/profi_center_18,,,56.85181,53.225124,https://2gis.com/firm/70000001054128569
Рио Рита,парикмахерская,Парикмахерские; Ногтевые студии; Тату-салоны; Услуги косметолога; Студии загара; Услуги по уходу за ресницами / бровями,"улица им. Петрова, 1",1 этаж,426068,Восточный 3-й,Устиновский район,Ижевск,Ижевск городской округ,Удмуртская Республика,Россия,Пн: 08:30-20:00; Вт: 08:30-20:00; Ср: 08:30-20:00; Чт: 08:30-20:00; Пт: 08:30-20:00; Сб: 08:30-20:00; Вс: 08:30-20:00,89048341020,83412241020,,,,http://riorita18.business.site,,,,https://vk.com/riorita241020,,,56.874148,53.285685,https://2gis.com/firm/5770765303559389
